time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,location
2023-01-01 00:00:00,9.9,9.9,100.0,1.0,220.0,7.6,1010.0,5.0,Lower Manhattan
2023-01-01 01:00:00,10.0,10.0,100.0,0.5,220.0,5.4,1010.0,9.0,Lower Manhattan
2023-01-01 02:00:00,10.5,10.5,100.0,1.0,210.0,7.6,1009.0,8.0,Lower Manhattan
2023-01-01 03:00:00,10.6,10.4,99.0,2.2,190.0,9.4,1009.0,5.0,Lower Manhattan
2023-01-01 04:00:00,10.3,10.1,99.0,0.7,260.0,11.2,1009.0,5.0,Lower Manhattan
2023-01-01 05:00:00,9.9,9.7,99.0,0.5,260.0,11.2,1007.0,5.0,Lower Manhattan
2023-01-01 06:00:00,9.6,9.5,99.0,0.0,260.0,11.2,1008.0,5.0,Lower Manhattan
2023-01-01 07:00:00,9.7,9.6,99.0,0.0,220.0,11.2,1008.0,5.0,Lower Manhattan
2023-01-01 08:00:00,9.9,9.3,96.0,0.0,210.0,11.2,1009.0,5.0,Lower Manhattan
2023-01-01 09:00:00,9.3,8.7,96.0,0.0,200.0,13.0,1009.0,5.0,Lower Manhattan
2023-01-01 10:00:00,8.5,7.7,95.0,0.0,240.0,9.4,1010.0,5.0,Lower Manhattan
2023-01-01 11:00:00,7.9,6.8,93.0,0.0,240.0,9.4,1011.0,3.0,Lower Manhattan
2023-01-01 12:00:00,7.8,6.6,92.0,0.0,270.0,11.2,1012.0,3.0,Lower Manhattan
2023-01-01 13:00:00,7.0,5.9,93.0,0.0,210.0,9.4,1013.0,3.0,Lower Manhattan
2023-01-01 14:00:00,7.8,6.1,89.0,0.0,210.0,9.4,1014.0,2.0,Lower Manhattan
2023-01-01 15:00:00,8.6,5.3,80.0,0.0,240.0,5.4,1015.0,3.0,Lower Manhattan
2023-01-01 16:00:00,9.1,4.7,74.0,0.0,260.0,11.2,1014.0,3.0,Lower Manhattan
2023-01-01 17:00:00,9.7,4.1,68.0,0.0,260.0,11.2,1014.0,3.0,Lower Manhattan
2023-01-01 18:00:00,10.5,3.5,62.0,0.0,298.0,11.2,1014.0,1.0,Lower Manhattan
2023-01-01 19:00:00,10.6,2.7,58.0,0.0,300.0,5.4,1014.0,1.0,Lower Manhattan
2023-01-01 20:00:00,10.4,2.2,57.0,0.0,299.0,7.6,1015.0,1.0,Lower Manhattan
2023-01-01 21:00:00,9.5,2.6,62.0,0.2,301.0,7.6,1015.0,1.0,Lower Manhattan
2023-01-01 22:00:00,6.7,2.4,74.0,0.0,240.0,7.6,1015.0,3.0,Lower Manhattan
2023-01-01 23:00:00,5.5,2.1,79.0,0.0,240.0,7.6,1017.0,1.0,Lower Manhattan
2023-01-02 00:00:00,5.2,2.9,85.0,0.0,190.0,11.2,1017.0,1.0,Lower Manhattan
2023-01-02 01:00:00,5.6,3.1,84.0,0.0,220.0,7.6,1018.0,1.0,Lower Manhattan
2023-01-02 02:00:00,5.2,2.7,84.0,0.0,220.0,7.6,1018.0,1.0,Lower Manhattan
2023-01-02 03:00:00,4.6,2.3,85.0,0.0,250.0,11.2,1018.0,2.0,Lower Manhattan
2023-01-02 04:00:00,4.7,2.9,88.0,0.0,250.0,11.2,1018.0,3.0,Lower Manhattan
2023-01-02 05:00:00,5.3,3.1,86.0,0.0,190.0,9.4,1017.0,3.0,Lower Manhattan
2023-01-02 06:00:00,4.7,3.2,90.0,0.0,190.0,11.2,1018.0,3.0,Lower Manhattan
2023-01-02 07:00:00,4.5,3.2,91.0,0.0,210.0,9.4,1019.0,3.0,Lower Manhattan
2023-01-02 08:00:00,4.2,2.9,91.0,0.0,180.0,9.4,1019.0,3.0,Lower Manhattan
2023-01-02 09:00:00,4.5,3.3,92.0,0.0,180.0,9.4,1019.0,3.0,Lower Manhattan
2023-01-02 10:00:00,4.5,3.3,92.0,0.0,210.0,9.4,1019.0,2.0,Lower Manhattan
2023-01-02 11:00:00,4.6,3.4,92.0,0.0,210.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 12:00:00,4.7,3.5,92.0,0.0,190.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-02 13:00:00,4.8,3.6,92.0,0.0,190.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-02 14:00:00,6.7,4.2,84.0,0.0,180.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-02 15:00:00,8.3,4.9,79.0,0.0,253.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-02 16:00:00,9.8,5.0,72.0,0.0,256.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 17:00:00,10.4,5.2,70.0,0.0,229.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 18:00:00,11.2,5.1,66.0,0.0,240.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 19:00:00,12.3,6.6,68.0,0.0,202.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 20:00:00,12.2,7.1,71.0,0.0,191.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-02 21:00:00,10.3,7.0,80.0,0.0,172.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 22:00:00,8.7,6.3,85.0,0.1,270.0,5.4,1021.0,7.0,Lower Manhattan
2023-01-02 23:00:00,8.1,6.4,89.0,0.0,270.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-03 00:00:00,8.0,6.6,91.0,0.0,270.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-03 01:00:00,6.6,6.0,96.0,0.0,270.0,7.6,1022.0,3.0,Lower Manhattan
2023-01-03 02:00:00,7.8,7.0,95.0,0.2,0.0,0.0,1021.0,7.0,Lower Manhattan
2023-01-03 03:00:00,8.3,7.4,94.0,0.2,0.0,0.0,1021.0,7.0,Lower Manhattan
2023-01-03 04:00:00,8.4,7.5,94.0,0.0,40.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-03 05:00:00,8.0,7.4,96.0,0.0,50.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-03 06:00:00,8.1,7.7,97.0,0.0,0.0,0.0,1020.0,3.0,Lower Manhattan
2023-01-03 07:00:00,8.2,7.8,97.0,0.0,30.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-03 08:00:00,8.0,7.4,96.0,0.0,30.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-03 09:00:00,7.9,7.0,94.0,0.0,0.0,0.0,1019.0,3.0,Lower Manhattan
2023-01-03 10:00:00,8.1,7.2,94.0,0.0,0.0,0.0,1019.0,3.0,Lower Manhattan
2023-01-03 11:00:00,7.9,7.3,96.0,0.3,60.0,5.4,1018.0,8.0,Lower Manhattan
2023-01-03 12:00:00,8.0,7.6,97.0,0.0,60.0,5.4,1018.0,3.0,Lower Manhattan
2023-01-03 13:00:00,8.0,7.7,98.0,0.0,40.0,9.4,1017.0,5.0,Lower Manhattan
2023-01-03 14:00:00,8.8,8.3,97.0,0.0,0.0,0.0,1016.0,5.0,Lower Manhattan
2023-01-03 15:00:00,9.5,8.9,96.0,0.7,0.0,0.0,1016.0,8.0,Lower Manhattan
2023-01-03 16:00:00,9.5,9.0,97.0,1.3,0.0,0.0,1015.0,9.0,Lower Manhattan
2023-01-03 17:00:00,10.1,9.6,97.0,1.7,0.0,0.0,1014.0,9.0,Lower Manhattan
2023-01-03 18:00:00,10.2,9.9,98.0,1.6,280.0,11.2,1013.0,9.0,Lower Manhattan
2023-01-03 19:00:00,10.8,10.6,99.0,0.8,260.0,7.6,1012.0,8.0,Lower Manhattan
2023-01-03 20:00:00,11.4,11.2,99.0,1.1,260.0,7.6,1011.0,9.0,Lower Manhattan
2023-01-03 21:00:00,13.6,12.7,94.0,1.2,260.0,7.6,1011.0,9.0,Lower Manhattan
2023-01-03 22:00:00,13.2,12.6,96.0,0.7,270.0,7.6,1011.0,8.0,Lower Manhattan
2023-01-03 23:00:00,12.9,12.3,96.0,0.0,260.0,7.6,1011.0,5.0,Lower Manhattan
2023-01-04 00:00:00,12.4,11.9,97.0,0.0,210.0,9.4,1011.0,5.0,Lower Manhattan
2023-01-04 01:00:00,12.3,11.8,97.0,0.0,260.0,5.4,1010.0,5.0,Lower Manhattan
2023-01-04 02:00:00,12.4,11.6,95.0,0.0,260.0,5.4,1010.0,5.0,Lower Manhattan
2023-01-04 03:00:00,12.4,11.3,93.0,0.0,250.0,9.4,1010.0,5.0,Lower Manhattan
2023-01-04 04:00:00,12.6,11.5,93.0,0.0,0.0,0.0,1009.0,5.0,Lower Manhattan
2023-01-04 05:00:00,12.7,11.8,94.0,0.0,250.0,11.2,1010.0,3.0,Lower Manhattan
2023-01-04 06:00:00,12.7,12.1,96.0,3.2,250.0,11.2,1009.0,9.0,Lower Manhattan
2023-01-04 07:00:00,12.8,11.9,94.0,0.2,270.0,9.4,1010.0,7.0,Lower Manhattan
2023-01-04 08:00:00,12.6,11.8,95.0,0.9,240.0,13.0,1009.0,8.0,Lower Manhattan
2023-01-04 09:00:00,12.4,11.8,96.0,0.4,250.0,11.2,1010.0,8.0,Lower Manhattan
2023-01-04 10:00:00,12.3,11.8,97.0,0.0,220.0,11.2,1011.0,3.0,Lower Manhattan
2023-01-04 11:00:00,12.2,11.7,97.0,0.0,270.0,9.4,1011.0,3.0,Lower Manhattan
2023-01-04 12:00:00,12.2,11.9,98.0,0.0,270.0,9.4,1012.0,3.0,Lower Manhattan
2023-01-04 13:00:00,12.1,11.8,98.0,0.0,270.0,9.4,1013.0,3.0,Lower Manhattan
2023-01-04 14:00:00,13.0,12.4,96.0,0.0,260.0,5.4,1013.0,3.0,Lower Manhattan
2023-01-04 15:00:00,14.2,13.2,94.0,0.2,248.0,7.6,1013.0,3.0,Lower Manhattan
2023-01-04 16:00:00,15.4,13.4,88.0,0.0,0.0,0.0,1012.0,3.0,Lower Manhattan
2023-01-04 17:00:00,16.4,13.7,84.0,0.0,0.0,5.4,1011.0,3.0,Lower Manhattan
2023-01-04 18:00:00,16.9,13.6,81.0,0.0,280.0,5.4,1011.0,3.0,Lower Manhattan
2023-01-04 19:00:00,17.1,13.8,81.0,0.0,280.0,9.4,1011.0,3.0,Lower Manhattan
2023-01-04 20:00:00,15.4,13.9,91.0,0.0,162.0,7.6,1011.0,3.0,Lower Manhattan
2023-01-04 21:00:00,12.5,12.0,97.0,0.0,146.0,7.6,1011.0,5.0,Lower Manhattan
2023-01-04 22:00:00,11.4,11.2,99.0,1.0,30.0,7.6,1010.0,9.0,Lower Manhattan
2023-01-04 23:00:00,11.4,11.2,99.0,1.3,30.0,14.8,1011.0,9.0,Lower Manhattan
2023-01-05 00:00:00,11.6,11.4,99.0,0.2,40.0,13.0,1010.0,9.0,Lower Manhattan
2023-01-05 01:00:00,10.8,10.6,99.0,0.4,40.0,13.0,1010.0,8.0,Lower Manhattan
2023-01-05 02:00:00,10.2,10.0,99.0,1.1,40.0,16.6,1010.0,9.0,Lower Manhattan
2023-01-05 03:00:00,11.9,11.9,100.0,6.0,50.0,16.6,1010.0,5.0,Lower Manhattan
2023-01-05 04:00:00,11.7,11.7,100.0,0.0,60.0,18.4,1010.0,5.0,Lower Manhattan
2023-01-05 05:00:00,12.8,12.8,100.0,0.0,50.0,22.3,1010.0,5.0,Lower Manhattan
2023-01-05 06:00:00,13.6,13.4,99.0,0.0,50.0,16.6,1011.0,5.0,Lower Manhattan
2023-01-05 07:00:00,13.7,13.5,99.0,0.0,80.0,7.6,1012.0,5.0,Lower Manhattan
2023-01-05 08:00:00,13.6,13.4,99.0,0.0,80.0,7.6,1012.0,3.0,Lower Manhattan
2023-01-05 09:00:00,11.9,11.9,100.0,0.0,50.0,9.4,1013.0,2.0,Lower Manhattan
2023-01-05 10:00:00,11.2,11.2,100.0,0.0,0.0,0.0,1014.0,3.0,Lower Manhattan
2023-01-05 11:00:00,11.0,10.8,99.0,0.0,0.0,0.0,1014.0,5.0,Lower Manhattan
2023-01-05 12:00:00,10.4,10.1,98.0,0.0,60.0,14.8,1014.0,5.0,Lower Manhattan
2023-01-05 13:00:00,10.1,10.1,100.0,0.0,60.0,9.4,1015.0,5.0,Lower Manhattan
2023-01-05 14:00:00,11.3,11.0,98.0,0.0,50.0,16.6,1016.0,5.0,Lower Manhattan
2023-01-05 15:00:00,11.9,11.4,97.0,0.0,60.0,16.6,1016.0,5.0,Lower Manhattan
2023-01-05 16:00:00,12.5,11.1,91.0,0.0,50.0,16.6,1016.0,5.0,Lower Manhattan
2023-01-05 17:00:00,13.3,10.5,83.0,0.0,50.0,16.6,1015.0,5.0,Lower Manhattan
2023-01-05 18:00:00,11.7,9.9,89.0,0.0,70.0,11.2,1015.0,3.0,Lower Manhattan
2023-01-05 19:00:00,11.5,9.4,87.0,0.0,70.0,11.2,1014.0,3.0,Lower Manhattan
2023-01-05 20:00:00,11.4,9.1,86.0,0.0,70.0,7.6,1014.0,3.0,Lower Manhattan
2023-01-05 21:00:00,10.6,8.7,88.0,0.0,70.0,7.6,1015.0,3.0,Lower Manhattan
2023-01-05 22:00:00,9.6,8.5,93.0,0.0,40.0,11.2,1014.0,3.0,Lower Manhattan
2023-01-05 23:00:00,8.6,7.4,92.0,0.0,50.0,9.4,1015.0,3.0,Lower Manhattan
2023-01-06 00:00:00,8.3,6.9,91.0,0.0,260.0,7.6,1015.0,3.0,Lower Manhattan
2023-01-06 01:00:00,8.2,6.7,90.0,0.0,0.0,0.0,1015.0,3.0,Lower Manhattan
2023-01-06 02:00:00,8.1,6.7,91.0,0.0,0.0,0.0,1015.0,5.0,Lower Manhattan
2023-01-06 03:00:00,8.0,6.6,91.0,0.0,50.0,14.8,1015.0,3.0,Lower Manhattan
2023-01-06 04:00:00,7.9,6.5,91.0,0.0,50.0,14.8,1015.0,3.0,Lower Manhattan
2023-01-06 05:00:00,7.9,6.5,91.0,0.1,50.0,9.4,1015.0,7.0,Lower Manhattan
2023-01-06 06:00:00,7.7,6.6,93.0,0.3,50.0,9.4,1015.0,8.0,Lower Manhattan
2023-01-06 07:00:00,7.4,6.5,94.0,0.2,160.0,5.4,1016.0,8.0,Lower Manhattan
2023-01-06 08:00:00,7.2,6.6,96.0,2.2,60.0,11.2,1015.0,8.0,Lower Manhattan
2023-01-06 09:00:00,6.1,5.4,95.0,1.7,30.0,7.6,1015.0,8.0,Lower Manhattan
2023-01-06 10:00:00,5.6,5.2,97.0,1.2,50.0,13.0,1015.0,9.0,Lower Manhattan
2023-01-06 11:00:00,5.2,4.6,96.0,0.0,50.0,5.4,1015.0,3.0,Lower Manhattan
2023-01-06 12:00:00,5.3,4.9,97.0,0.3,130.0,5.4,1016.0,8.0,Lower Manhattan
2023-01-06 13:00:00,5.5,4.9,96.0,0.4,50.0,9.4,1016.0,8.0,Lower Manhattan
2023-01-06 14:00:00,5.7,5.0,95.0,0.2,250.0,7.6,1016.0,8.0,Lower Manhattan
2023-01-06 15:00:00,5.8,5.1,95.0,0.5,260.0,9.4,1016.0,8.0,Lower Manhattan
2023-01-06 16:00:00,6.2,5.0,92.0,0.2,250.0,9.4,1015.0,7.0,Lower Manhattan
2023-01-06 17:00:00,6.7,5.2,90.0,0.1,240.0,9.0,1015.0,7.0,Lower Manhattan
2023-01-06 18:00:00,7.1,5.1,87.0,0.2,240.0,9.4,1015.0,3.0,Lower Manhattan
2023-01-06 19:00:00,7.5,5.1,85.0,0.2,250.0,11.2,1015.0,7.0,Lower Manhattan
2023-01-06 20:00:00,7.7,5.0,83.0,0.2,270.0,18.4,1016.0,3.0,Lower Manhattan
2023-01-06 21:00:00,7.1,5.1,87.0,1.2,270.0,18.4,1016.0,18.0,Lower Manhattan
2023-01-06 22:00:00,5.5,4.8,95.0,0.4,235.0,7.6,1017.0,17.0,Lower Manhattan
2023-01-06 23:00:00,6.0,4.5,90.0,0.2,269.0,5.4,1018.0,17.0,Lower Manhattan
2023-01-07 00:00:00,4.7,1.5,80.0,0.0,0.0,0.0,1019.0,3.0,Lower Manhattan
2023-01-07 01:00:00,4.1,0.8,79.0,0.0,0.0,9.4,1020.0,1.0,Lower Manhattan
2023-01-07 02:00:00,3.7,0.2,78.0,0.0,291.0,9.4,1020.0,1.0,Lower Manhattan
2023-01-07 03:00:00,3.2,-0.3,78.0,0.0,0.0,9.4,1021.0,2.0,Lower Manhattan
2023-01-07 04:00:00,3.1,-0.7,76.0,0.0,250.0,9.4,1020.0,2.0,Lower Manhattan
2023-01-07 05:00:00,1.9,-0.7,83.0,0.0,250.0,14.8,1020.0,3.0,Lower Manhattan
2023-01-07 06:00:00,1.4,-1.0,84.0,0.0,250.0,13.0,1020.0,1.0,Lower Manhattan
2023-01-07 07:00:00,1.1,-1.5,83.0,0.0,250.0,13.0,1020.0,1.0,Lower Manhattan
2023-01-07 08:00:00,0.8,-1.9,82.0,0.0,250.0,13.0,1020.0,1.0,Lower Manhattan
2023-01-07 09:00:00,0.6,-2.0,83.0,0.0,240.0,11.2,1020.0,1.0,Lower Manhattan
2023-01-07 10:00:00,0.7,-1.9,83.0,0.0,240.0,11.2,1021.0,1.0,Lower Manhattan
2023-01-07 11:00:00,0.8,-1.9,82.0,0.0,230.0,11.2,1021.0,2.0,Lower Manhattan
2023-01-07 12:00:00,1.4,-2.0,78.0,0.0,230.0,11.2,1021.0,3.0,Lower Manhattan
2023-01-07 13:00:00,2.0,-2.1,74.0,0.0,250.0,13.0,1022.0,3.0,Lower Manhattan
2023-01-07 14:00:00,2.8,-1.9,71.0,0.0,250.0,9.4,1022.0,3.0,Lower Manhattan
2023-01-07 15:00:00,3.8,-1.6,68.0,0.0,285.0,11.2,1022.0,3.0,Lower Manhattan
2023-01-07 16:00:00,5.2,-0.8,65.0,0.0,290.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-07 17:00:00,6.4,-1.0,59.0,0.0,292.0,7.6,1020.0,3.0,Lower Manhattan
2023-01-07 18:00:00,7.3,-2.2,51.0,0.0,250.0,14.8,1020.0,2.0,Lower Manhattan
2023-01-07 19:00:00,7.5,-3.4,46.0,0.0,250.0,14.8,1021.0,3.0,Lower Manhattan
2023-01-07 20:00:00,7.1,-2.9,49.0,0.0,0.0,5.4,1021.0,3.0,Lower Manhattan
2023-01-07 21:00:00,7.1,-2.6,50.0,0.0,317.0,5.4,1021.0,3.0,Lower Manhattan
2023-01-07 22:00:00,6.0,-2.6,54.0,0.0,323.0,5.4,1022.0,3.0,Lower Manhattan
2023-01-07 23:00:00,4.7,-2.4,60.0,0.0,313.0,9.4,1023.0,3.0,Lower Manhattan
2023-01-08 00:00:00,3.9,-2.1,65.0,0.0,295.0,11.2,1024.0,3.0,Lower Manhattan
2023-01-08 01:00:00,3.3,-2.0,68.0,0.0,295.0,7.6,1024.0,3.0,Lower Manhattan
2023-01-08 02:00:00,2.3,-2.2,72.0,0.0,250.0,7.6,1024.0,1.0,Lower Manhattan
2023-01-08 03:00:00,2.3,-2.6,70.0,0.0,250.0,5.4,1024.0,1.0,Lower Manhattan
2023-01-08 04:00:00,1.9,-2.8,71.0,0.0,312.0,5.4,1024.4,2.0,Lower Manhattan
2023-01-08 05:00:00,1.4,-2.9,73.0,0.0,312.0,5.4,1025.0,1.0,Lower Manhattan
2023-01-08 06:00:00,1.1,-3.4,72.0,0.0,0.0,0.0,1025.0,1.0,Lower Manhattan
2023-01-08 07:00:00,0.7,-3.8,72.0,0.0,0.0,0.0,1026.0,1.0,Lower Manhattan
2023-01-08 08:00:00,0.0,-4.1,74.0,0.0,250.0,9.4,1026.0,1.0,Lower Manhattan
2023-01-08 09:00:00,-0.5,-4.9,72.0,0.0,250.0,5.4,1027.0,1.0,Lower Manhattan
2023-01-08 10:00:00,-1.3,-5.3,74.0,0.0,327.0,5.4,1027.0,1.0,Lower Manhattan
2023-01-08 11:00:00,-2.2,-5.5,78.0,0.0,0.0,0.0,1027.0,1.0,Lower Manhattan
2023-01-08 12:00:00,-2.3,-5.1,81.0,0.0,0.0,0.0,1027.0,1.0,Lower Manhattan
2023-01-08 13:00:00,-2.0,-4.0,86.0,0.0,80.0,7.6,1028.0,1.0,Lower Manhattan
2023-01-08 14:00:00,-0.6,-3.8,79.0,0.0,80.0,9.4,1028.0,1.0,Lower Manhattan
2023-01-08 15:00:00,0.4,-4.1,72.0,0.0,32.0,5.4,1028.0,1.0,Lower Manhattan
2023-01-08 16:00:00,1.2,-4.1,68.0,0.0,53.0,5.4,1026.0,1.0,Lower Manhattan
2023-01-08 17:00:00,2.0,-3.9,65.0,0.2,240.0,11.2,1026.0,1.0,Lower Manhattan
2023-01-08 18:00:00,2.6,-4.0,62.0,0.0,220.0,11.2,1025.0,1.0,Lower Manhattan
2023-01-08 19:00:00,2.8,-4.4,59.0,0.0,220.0,9.4,1025.0,3.0,Lower Manhattan
2023-01-08 20:00:00,2.7,-4.1,61.0,0.0,220.0,7.6,1025.0,3.0,Lower Manhattan
2023-01-08 21:00:00,2.0,-2.9,70.0,0.0,220.0,9.4,1025.0,3.0,Lower Manhattan
2023-01-08 22:00:00,1.4,-2.5,75.0,0.0,220.0,9.4,1024.2,3.0,Lower Manhattan
2023-01-08 23:00:00,1.6,-1.0,83.0,0.0,220.0,7.6,1023.0,3.0,Lower Manhattan
2023-01-09 00:00:00,2.0,-0.6,83.0,0.0,210.0,13.0,1023.0,3.0,Lower Manhattan
2023-01-09 01:00:00,2.0,-0.6,83.0,0.0,220.0,14.8,1023.0,3.0,Lower Manhattan
2023-01-09 02:00:00,1.7,-0.9,83.0,0.0,220.0,14.8,1022.0,3.0,Lower Manhattan
2023-01-09 03:00:00,1.3,-0.9,85.0,0.0,240.0,11.2,1021.0,3.0,Lower Manhattan
2023-01-09 04:00:00,1.1,-1.0,86.0,0.0,270.0,7.6,1020.0,3.0,Lower Manhattan
2023-01-09 05:00:00,1.3,-0.9,85.0,0.0,250.0,7.6,1019.0,3.0,Lower Manhattan
2023-01-09 06:00:00,2.0,-0.8,82.0,0.0,230.0,11.2,1018.0,3.0,Lower Manhattan
2023-01-09 07:00:00,2.5,-0.3,82.0,0.0,230.0,11.2,1017.0,3.0,Lower Manhattan
2023-01-09 08:00:00,2.9,0.1,82.0,0.0,0.0,0.0,1016.0,3.0,Lower Manhattan
2023-01-09 09:00:00,2.7,0.3,84.0,0.2,250.0,5.4,1015.0,7.0,Lower Manhattan
2023-01-09 10:00:00,2.4,0.3,86.0,0.2,270.0,9.4,1016.0,7.0,Lower Manhattan
2023-01-09 11:00:00,1.5,0.8,95.0,0.6,230.0,7.6,1015.0,8.0,Lower Manhattan
2023-01-09 12:00:00,1.1,1.0,99.0,0.5,230.0,7.6,1015.0,12.0,Lower Manhattan
2023-01-09 13:00:00,1.5,1.1,97.0,0.1,250.0,11.2,1015.0,12.0,Lower Manhattan
2023-01-09 14:00:00,2.4,1.2,92.0,0.0,250.0,11.2,1015.0,3.0,Lower Manhattan
2023-01-09 15:00:00,2.9,0.9,87.0,0.0,250.0,9.4,1015.0,3.0,Lower Manhattan
2023-01-09 16:00:00,4.4,0.9,78.0,0.0,260.0,9.4,1014.0,2.0,Lower Manhattan
2023-01-09 17:00:00,5.8,-0.1,66.0,0.0,260.0,14.8,1013.0,1.0,Lower Manhattan
2023-01-09 18:00:00,7.1,-0.4,59.0,0.0,280.0,9.4,1012.0,1.0,Lower Manhattan
2023-01-09 19:00:00,7.5,-1.0,55.0,0.0,280.0,5.4,1013.0,1.0,Lower Manhattan
2023-01-09 20:00:00,7.2,-1.7,53.0,0.0,308.0,5.4,1013.0,1.0,Lower Manhattan
2023-01-09 21:00:00,6.0,-1.9,57.0,0.0,280.0,5.4,1013.0,1.0,Lower Manhattan
2023-01-09 22:00:00,4.1,-3.0,60.0,0.0,260.0,7.6,1014.0,1.0,Lower Manhattan
2023-01-09 23:00:00,2.9,-3.5,63.0,0.0,240.0,11.2,1014.0,1.0,Lower Manhattan
2023-01-10 00:00:00,2.3,-4.2,62.0,0.0,250.0,11.2,1014.0,1.0,Lower Manhattan
2023-01-10 01:00:00,1.7,-4.2,65.0,0.0,270.0,13.0,1014.0,1.0,Lower Manhattan
2023-01-10 02:00:00,1.5,-3.6,69.0,0.0,270.0,13.0,1014.0,1.0,Lower Manhattan
2023-01-10 03:00:00,1.7,-3.8,67.0,0.0,250.0,14.8,1014.0,1.0,Lower Manhattan
2023-01-10 04:00:00,1.3,-3.4,71.0,0.0,260.0,13.0,1014.0,1.0,Lower Manhattan
2023-01-10 05:00:00,1.1,-3.6,71.0,0.0,250.0,13.0,1015.0,1.0,Lower Manhattan
2023-01-10 06:00:00,0.7,-3.6,73.0,0.0,250.0,13.0,1015.0,1.0,Lower Manhattan
2023-01-10 07:00:00,0.6,-3.5,74.0,0.0,250.0,11.2,1016.0,2.0,Lower Manhattan
2023-01-10 08:00:00,0.3,-3.3,77.0,0.0,250.0,11.2,1016.0,2.0,Lower Manhattan
2023-01-10 09:00:00,0.3,-3.6,75.0,0.0,240.0,11.2,1016.0,1.0,Lower Manhattan
2023-01-10 10:00:00,0.4,-3.5,75.0,0.0,250.0,5.4,1017.0,3.0,Lower Manhattan
2023-01-10 11:00:00,0.3,-3.4,76.0,0.0,250.0,5.4,1017.0,3.0,Lower Manhattan
2023-01-10 12:00:00,-0.1,-2.8,82.0,0.0,260.0,7.6,1018.0,3.0,Lower Manhattan
2023-01-10 13:00:00,0.7,-2.4,80.0,0.0,250.0,11.2,1018.0,3.0,Lower Manhattan
2023-01-10 14:00:00,2.3,-1.7,75.0,0.0,250.0,14.8,1019.0,3.0,Lower Manhattan
2023-01-10 15:00:00,3.7,-1.7,68.0,0.0,250.0,14.8,1018.0,3.0,Lower Manhattan
2023-01-10 16:00:00,4.7,-2.0,62.0,0.2,250.0,13.0,1018.0,3.0,Lower Manhattan
2023-01-10 17:00:00,5.6,-2.0,58.0,0.5,260.0,14.8,1017.0,3.0,Lower Manhattan
2023-01-10 18:00:00,6.1,-2.5,54.0,0.0,260.0,14.8,1017.0,3.0,Lower Manhattan
2023-01-10 19:00:00,6.3,-2.6,53.0,0.0,260.0,13.0,1017.0,3.0,Lower Manhattan
2023-01-10 20:00:00,6.4,-3.0,51.0,0.0,260.0,11.2,1017.0,3.0,Lower Manhattan
2023-01-10 21:00:00,6.0,-2.4,55.0,0.0,260.0,11.2,1018.0,3.0,Lower Manhattan
2023-01-10 22:00:00,4.1,-1.9,65.0,0.0,260.0,11.2,1018.0,3.0,Lower Manhattan
2023-01-10 23:00:00,3.5,-2.3,66.0,0.0,260.0,11.2,1019.0,3.0,Lower Manhattan
2023-01-11 00:00:00,3.7,-2.1,66.0,0.0,250.0,7.6,1019.0,3.0,Lower Manhattan
2023-01-11 01:00:00,3.0,-2.1,69.0,0.0,250.0,7.6,1020.0,3.0,Lower Manhattan
2023-01-11 02:00:00,2.4,-2.3,71.0,0.0,280.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-11 03:00:00,1.9,-2.4,73.0,0.0,10.0,7.6,1020.0,3.0,Lower Manhattan
2023-01-11 04:00:00,1.9,-2.1,75.0,0.0,40.0,11.2,1021.0,3.0,Lower Manhattan
2023-01-11 05:00:00,1.2,-2.0,79.0,0.0,40.0,16.6,1021.0,3.0,Lower Manhattan
2023-01-11 06:00:00,0.6,-3.3,75.0,0.0,70.0,13.0,1021.0,3.0,Lower Manhattan
2023-01-11 07:00:00,-0.1,-4.2,74.0,0.0,60.0,14.8,1022.0,2.0,Lower Manhattan
2023-01-11 08:00:00,-0.5,-4.7,73.0,0.0,60.0,18.4,1022.0,2.0,Lower Manhattan
2023-01-11 09:00:00,-0.8,-5.0,73.0,0.0,60.0,22.3,1023.0,3.0,Lower Manhattan
2023-01-11 10:00:00,-0.8,-5.4,71.0,0.0,60.0,22.3,1022.0,3.0,Lower Manhattan
